MoleculeId,PredictedProbability
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,1
458,0
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,0
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,1
496,0
497,0
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,1
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,0
620,1
621,1
622,0
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,1
694,0
695,1
696,1
697,1
698,1
699,1
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,1
715,1
716,0
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,0
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,0
766,0
767,1
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,1
804,1
805,0
806,0
807,0
808,0
809,1
